Code,Area,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
00BA,Merton,436.3,5.7,439.4,5.3,442.5,5.9,493.9,5.6,474.4,4.3,511.3,3.8,526.0,5.8,529.7,3.9,531.5,4.4,536.9,4.7,538.4,4.1,527.0,4.9,542.9,4.4,548.1,4.2,585.3,4.6,573.0,5.1,594.8,5.0,579.1,4.5
00BB,Newham,338.2,5.1,343.4,5.2,371.0,6.1,383.2,5.6,390.9,5.6,390.8,5.4,403.0,5.1,421.6,5.0,422.4,5.1,382.5,4.7,369.8,5.3,387.6,4.7,393.7,4.5,421.6,5.0,436.7,4.3,471.3,4.7,479.1,4.2,517.1,4.5
00BC,Redbridge,402.5,5.8,433.9,6.3,439.8,5.8,432.7,6.5,466.2,5.9,480.1,5.4,526.9,5.0,518.5,4.9,506.1,6.3,479.5,4.2,526.7,4.8,503.9,5.1,517.6,4.8,533.1,5.3,521.8,4.6,546.8,4.8,554.7,4.5,564.7,5.3
00BD,Richmond upon Thames,564.9,5.0,567.8,5.2,595.6,5.5,584.7,4.7,583.0,5.0,578.2,7.1,642.5,6.4,617.7,6.0,668.7,4.6,665.0,5.2,670.8,4.9,670.5,5.2,654.2,5.4,648.0,5.6,688.8,6.9,665.9,5.9,678.2,5.9,734.4,5.1
00BE,Southwark,397.6,5.6,423.8,5.1,412.6,5.5,430.4,5.1,459.9,4.4,487.8,5.1,493.2,4.2,526.7,4.4,521.2,3.9,530.5,4.1,536.6,3.7,524.4,4.5,529.0,3.7,557.0,3.9,543.0,3.6,587.1,3.1,589.4,3.4,623.0,3.6
00BF,Sutton,410.9,5.2,421.7,5.3,426.5,4.2,437.0,4.8,460.0,3.8,475.7,4.6,505.3,5.6,503.2,4.0,495.3,4.6,497.9,4.6,517.5,4.3,518.0,4.4,508.3,4.4,498.3,5.0,532.9,5.0,515.2,5.4,541.2,4.9,546.1,5.6
00BG,Tower Hamlets,427.2,6.1,450.4,5.6,481.6,6.2,479.1,3.8,472.5,5.4,531.9,5.3,548.1,5.9,556.2,4.9,547.1,4.6,542.3,4.7,566.8,4.3,575.1,4.1,574.9,4.3,554.9,4.6,557.9,4.6,592.0,4.8,627.9,4.0,688.2,4.5
00BH,Waltham Forest,403.8,4.2,428.7,5.4,433.2,3.9,415.5,4.9,427.7,5.4,445.4,6.0,466.7,5.0,476.2,4.8,475.7,4.2,464.4,4.6,472.6,3.7,441.8,4.9,444.8,5.5,476.3,5.2,483.4,4.8,499.4,4.4,529.2,4.7,574.9,5.0
00BJ,Wandsworth,502.1,4.3,502.5,4.1,526.8,4.4,538.9,4.3,557.2,3.5,572.4,3.5,618.8,3.9,631.8,4.4,643.0,3.4,651.6,3.0,632.3,3.2,644.1,3.1,661.1,3.1,670.1,3.6,684.7,3.9,681.2,3.8,689.9,3.4,719.5,3.6
00BK,Westminster,480.0,5.9,504.7,5.9,549.0,6.6,574.0,5.1,598.1,5.1,625.5,4.9,670.8,6.0,672.2,6.2,718.7,7.2,670.8,6.0,701.0,6.2,625.0,6.2,659.6,5.5,656.0,7.1,667.5,5.1,730.8,5.7,766.6,5.5,702.6,6.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,North East,280.3,1.8,293.3,1.4,303.2,1.7,312.3,1.3,320.8,1.4,333.1,1.5,346.4,1.3,360.3,1.3,367.4,1.4,364.2,1.3,373.9,1.2,382.0,1.6,386.7,1.3,394.7,1.2,405.1,1.6,416.1,1.5,420.1,1.3,437.1,1.6
B,North West,307.7,1.0,316.7,1.0,328.5,1.0,334.5,1.0,344.5,0.8,357.0,0.9,371.2,1.0,373.8,0.8,380.1,0.9,370.5,0.8,378.0,0.9,388.1,0.8,394.5,0.9,400.0,0.9,413.5,0.9,421.6,0.8,434.7,0.7,457.3,0.7
D,Yorkshire and The Humber,298.5,1.0,311.0,1.0,321.4,1.0,324.8,1.1,337.0,1.1,350.0,1.0,361.1,1.1,365.7,0.9,378.3,0.9,370.5,0.9,374.9,1.1,383.0,1.0,383.7,0.9,389.1,1.0,402.5,0.9,410.9,1.0,423.9,0.9,444.0,0.9
E,East Midlands,309.7,1.3,319.7,1.1,328.1,1.3,336.6,1.2,347.7,1.0,355.4,1.4,371.8,1.2,379.6,1.0,383.4,1.0,380.4,1.0,385.9,0.9,394.8,1.1,396.0,1.1,400.9,1.1,413.6,1.0,421.6,1.1,428.3,1.0,451.7,1.0
F,West Midlands,309.4,1.0,317.9,1.0,327.0,1.0,334.8,1.0,346.8,0.9,353.0,1.1,366.7,1.1,376.8,0.9,382.0,1.0,373.5,1.1,381.2,0.9,393.6,1.0,392.4,1.0,402.5,1.0,414.6,1.0,426.5,0.8,440.0,0.9,455.2,0.8
G,East,338.3,1.1,355.1,1.1,365.2,1.1,367.7,1.0,378.7,1.0,389.5,1.2,402.5,1.2,413.7,1.1,421.6,1.0,418.5,0.9,421.9,1.0,438.8,0.9,431.2,1.0,434.5,1.0,456.6,0.9,465.7,0.8,479.1,0.8,496.0,0.9
H,London,419.7,0.8,435.9,0.8,448.7,0.8,458.0,0.8,468.0,0.8,486.7,0.8,503.9,0.8,517.5,0.6,521.3,0.7,517.5,0.7,523.4,0.8,521.2,0.6,520.7,0.6,527.9,0.8,536.6,0.7,558.1,0.8,574.9,0.3,589.4,0.7
J,South East,365.0,0.8,375.4,0.9,387.4,0.6,383.3,0.6,394.3,0.7,411.2,0.7,426.4,0.8,435.6,0.7,439.7,0.8,442.2,0.6,449.1,0.7,447.5,0.8,456.5,0.6,467.9,0.8,479.1,0.6,484.8,0.6,496.2,0.7,515.0,0.7
K,South West,298.1,1.2,311.2,1.0,321.1,1.1,325.8,1.1,342.1,0.9,351.9,1.0,365.8,1.1,371.4,0.9,378.4,0.9,371.1,1.0,377.4,0.9,383.3,0.8,386.0,0.9,398.4,0.9,410.6,1.0,419.3,0.9,430.7,0.9,444.4,0.8
924,Wales,290.5,1.6,300.3,1.4,317.0,1.5,320.6,1.4,334.5,1.4,337.5,1.4,347.6,1.4,361.4,1.3,369.1,1.5,366.5,1.2,366.5,1.2,381.1,1.6,383.3,1.4,388.1,1.3,408.0,1.2,412.1,1.2,422.2,1.3,446.4,1.1
923,Scotland,302.0,1.0,316.5,1.0,323.7,1.1,333.4,1.0,345.5,0.9,360.2,1.0,377.2,0.9,386.4,0.9,393.3,1.0,392.7,1.0,395.9,0.8,409.3,0.9,413.7,1.0,423.6,0.9,433.2,0.9,441.4,0.8,452.4,0.9,471.9,0.8
922,Northern Ireland,284.3,1.9,290.0,1.9,305.4,2.1,318.7,1.8,322.8,1.9,329.6,1.8,345.0,1.8,354.6,1.8,354.4,1.7,354.6,1.7,360.1,1.7,365.2,1.6,363.1,1.7,381.7,1.7,392.5,1.6,407.4,1.7,424.1,1.6,432.0,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,England and Wales,328.7,0.3,340.0,0.3,350.8,0.2,354.6,0.2,367.2,0.2,380.0,0.3,393.4,0.2,401.0,0.2,408.5,0.3,402.7,0.2,409.9,0.3,418.7,0.3,420.7,0.2,426.2,0.2,440.8,0.1,451.0,0.2,463.1,0.3,479.4,0.1
926,United Kingdom,324.8,0.2,334.7,0.2,345.5,0.1,349.1,0.2,363.0,0.2,376.0,0.2,388.8,0.2,397.1,0.2,403.8,0.2,400.0,0.2,405.8,0.2,415.3,0.2,417.9,0.1,425.1,0.2,438.4,0.2,448.5,0.2,460.0,0.1,479.1,0.1
